Title, Action & Adventure, Children & Family Movies, Comedies, Dramas, Horror Movies, Romantic Movies, Thrillers
Monster Hunter: Legends of the Guild, 1, 1, 0, 0, 0, 0, 0
The Paper Tigers, 1, 0, 1, 0, 0, 0, 0
The Last Mercenary, 1, 0, 1, 0, 0, 0, 0
Gunpowder Milkshake, 1, 0, 1, 0, 0, 0, 0
America: The Motion Picture, 1, 0, 1, 0, 0, 0, 0
Thunder Force, 1, 0, 1, 0, 0, 0, 0
Get the Goat, 1, 0, 1, 0, 0, 0, 0
The Stronghold, 1, 0, 0, 1, 0, 0, 0
Sweet Girl, 1, 0, 0, 1, 0, 0, 0
How I Became a Superhero, 1, 0, 0, 1, 0, 0, 0
Jagame Thandhiram, 1, 0, 0, 1, 0, 0, 0
Gatao - The Last Stray, 1, 0, 0, 1, 0, 0, 0
Super Me, 1, 0, 0, 1, 0, 0, 0
Sentinelle, 1, 0, 0, 1, 0, 0, 0
Space Sweepers, 1, 0, 0, 1, 0, 0, 0
Shadow and Bone - The Afterparty, 1, 0, 0, 1, 0, 0, 0
Blood Red Sky, 1, 0, 0, 0, 1, 0, 0
Army of the Dead, 1, 0, 0, 0, 1, 0, 0
The Vault, 1, 0, 0, 0, 0, 0, 1
SAS: Rise of the Black Swan, 1, 0, 0, 0, 0, 0, 0
Rurouni Kenshin: The Beginning, 1, 0, 0, 0, 0, 0, 0
Bartkowiak, 1, 0, 0, 0, 0, 0, 0
The Witcher: Nightmare of the Wolf, 1, 0, 0, 0, 0, 0, 0
Mobile Suit Gundam Hathaway, 1, 0, 0, 0, 0, 0, 0
New Gods: Nezha Reborn, 1, 0, 0, 0, 0, 0, 0
Major Grom: Plague Doctor, 1, 0, 0, 0, 0, 0, 0
Dynasty Warriors, 1, 0, 0, 0, 0, 0, 0
Rurouni Kenshin: The Final, 1, 0, 0, 0, 0, 0, 0
Xtreme, 1, 0, 0, 0, 0, 0, 0
The Yin Yang Master, 1, 0, 0, 0, 0, 0, 0
The Yin-Yang Master: Dream Of Eternity, 1, 0, 0, 0, 0, 0, 0
Below Zero, 1, 0, 0, 0, 0, 0, 0
Kate, 1, 0, 0, 0, 0, 0, 0
Beckett, 1, 0, 0, 0, 0, 0, 0
Cosmic Sin, 1, 0, 0, 0, 0, 0, 0
The Ice Road, 1, 0, 0, 0, 0, 0, 0
Outside the Wire, 1, 0, 0, 0, 0, 0, 0
Confessions of an Invisible Girl, 0, 1, 1, 0, 0, 0, 0
Little Singham - Black Shadow, 0, 1, 1, 0, 0, 0, 0
The Loud House Movie, 0, 1, 1, 0, 0, 0, 0
Wish Dragon, 0, 1, 1, 0, 0, 0, 0
Dog Gone Trouble, 0, 1, 1, 0, 0, 0, 0
Little Singham Future mein Satakli, 0, 1, 1, 0, 0, 0, 0
Jungle Beat: The Movie, 0, 1, 1, 0, 0, 0, 0
The Mitchells vs. The Machines, 0, 1, 1, 0, 0, 0, 0
Arlo the Alligator Boy, 0, 1, 1, 0, 0, 0, 0
The Last Kids on Earth: Happy Apocalypse to You, 0, 1, 1, 0, 0, 0, 0
Secret Magic Control Agency, 0, 1, 1, 0, 0, 0, 0
